name,life_max,life_min,male_weight_max,male_weight_min,female_weight_max,female_weight_min,hypoallergenic,Avg_life
portuguese podengo pequeno,15,12,6,3,6,3,False,13.5
portuguese pointer,14,12,30,25,30,25,False,13.0
portuguese sheepdog,14,12,30,25,30,25,False,13.0
portuguese water dog,15,12,30,25,27,22,False,13.5
pudelpointer,15,12,30,25,25,20,False,13.5
pug,15,12,8,6,8,6,False,13.5
puli,15,12,14,10,14,10,False,13.5
pumi,15,12,16,12,16,12,False,13.5
pyrenean mastiff,12,10,100,70,90,60,False,11.0
pyrenean shepherd,15,12,15,10,15,10,False,13.5
rafeiro do alentejo,14,12,60,45,60,45,False,13.0
rat terrier,16,14,6,2,6,2,False,15.0
redbone coonhound,14,12,30,20,30,20,False,13.0
rhodesian ridgeback,14,12,41,34,41,34,False,13.0
romanian carpathian shepherd,14,12,65,45,60,40,False,13.0
romanian mioritic shepherd dog,14,12,50,35,50,35,False,13.0
rottweiler,10,8,60,50,55,45,False,9.0
russell terrier,14,12,7,5,7,5,False,13.0
russian toy,14,12,3,1,3,1,False,13.0
russian tsvetnaya bolonka,16,14,5,3,5,3,False,15.0
saint bernard,10,8,110,90,110,90,False,9.0
saluki,14,12,30,20,30,20,False,13.0
samoyed,14,12,30,20,30,20,False,13.0
schapendoes,15,12,20,15,20,15,False,13.5
schipperke,17,15,7,5,7,5,False,16.0
scottish deerhound,10,8,50,35,50,35,False,9.0
scottish terrier,15,12,10,9,9,8,False,13.5
sealyham terrier,14,12,10,7,10,7,False,13.0
segugio italiano,15,12,30,20,30,20,False,13.5
shetland sheepdog,15,12,14,9,14,9,False,13.5
shiba inu,15,12,10,9,10,9,False,13.5
shih tzu,16,14,7,4,7,4,False,15.0
shikoku,15,12,22,18,22,18,False,13.5
siberian husky,14,12,27,20,23,16,False,13.0
silky terrier,15,12,7,5,7,5,False,13.5
skye terrier,15,12,8,7,8,7,False,13.5
sloughi,14,12,30,20,30,20,False,13.0
slovakian wirehaired pointer,15,12,35,25,35,25,False,13.5
slovensky cuvac,14,12,40,30,40,30,False,13.0
slovensky kopov,14,12,30,20,30,20,False,13.0
small munsterlander,15,12,20,15,20,15,False,13.5
smooth fox terrier,15,12,7,6,7,6,False,13.5
soft coated wheaten terrier,15,12,25,18,25,18,True,13.5
spanish mastiff,10,8,110,90,100,80,False,9.0
spanish water dog,14,12,22,17,22,17,False,13.0
spinone italiano,14,12,35,30,35,30,False,13.0
stabyhoun,15,12,25,20,25,20,False,13.5
staffordshire bull terrier,14,12,17,11,17,11,False,13.0
standard schnauzer,15,12,22,18,22,18,True,13.5
sussex spaniel,15,12,27,18,27,18,False,13.5
swedish lapphund,14,12,20,16,20,16,False,13.0
swedish vallhund,15,12,16,13,16,13,False,13.5
taiwan dog,15,12,15,10,15,10,False,13.5
teddy roosevelt terrier,15,12,11,7,11,7,False,13.5
thai ridgeback,14,12,25,20,25,20,False,13.0
tibetan mastiff,12,10,90,50,90,50,False,11.0
tibetan spaniel,16,14,7,5,7,5,False,15.0
tibetan terrier,16,14,8,6,8,6,False,15.0
tornjak,14,12,70,40,70,40,False,13.0
tosa,12,8,80,50,80,50,False,10.0
toy fox terrier,16,14,3,1,3,1,False,15.0
transylvanian hound,14,12,30,20,30,20,False,13.0
treeing tennessee brindle,14,12,30,15,30,15,False,13.0
treeing walker coonhound,14,12,30,20,30,20,False,13.0
vizsla,15,12,30,20,30,20,False,13.5
volpino italiano,15,12,6,4,6,4,False,13.5
weimaraner,14,12,30,25,30,25,False,13.0
welsh springer spaniel,15,12,25,18,25,18,False,13.5
welsh terrier,15,12,9,7,9,7,False,13.5
west highland white terrier,15,12,7,5,7,5,False,13.5
wetterhoun,14,12,30,20,30,20,False,13.0
whippet,15,12,15,10,15,10,False,13.5
wire fox terrier,15,12,7,6,7,6,False,13.5
wirehaired pointing griffon,14,12,27,18,27,18,False,13.0
wirehaired vizsla,15,12,30,25,30,25,False,13.5
working kelpie,15,12,20,16,20,16,False,13.5
xoloitzcuintli,15,12,15,10,15,10,True,13.5
yakutian laika,15,12,30,18,30,18,False,13.5
yorkshire terrier,15,12,3,2,3,2,False,13.5
